MT,F-actin,IF
6481.8625,10536.725,130650.125
1566.5625,12392.1375,82452.1625
813.4625,2721.7625,48460.1375
1362.1625,933.7375,26691.9375
647.4875,454.675,4270.325
9188.4875,28339.3125,97889.9875
492.9875,337.3875,4596.8
3719.1625,2766.0125,63790.2125
5159.7,10672.575,113869.5875
7334.7,27940.5875,93824.4
3327.875,11375.9,68338.7
5375.7125,12676.175,93624.75
4031.75,10584.8625,141844.3875
505.7875,1093.4,2340.3625
736.9,479.6875,3690.2875
1172.2,606.55,5267.6
2688.2625,13211.4125,18975.2875
4062.625,27254.4625,105570.95
1397.5625,11983.175,72448.3375
1652.6125,6765.1125,83962.7
2811.1,10695.475,164034.4375
4153.2625,3602.325,95436.2
608.1,1514.875,29635.2875
1176.5,2166.4125,9580.8125
533.9125,899,5805.625
1220.05,909.0125,2414.65
7134.0125,24606.25,91766.075
4561.05,5273.5125,62474.8375
3182.95,17204.35,94033.9125
6784.025,11983.275,59821.775
2458.05,4478.325,19803.95
4140.325,8227.6125,162604.9875
9589.1625,14733.25,175815.425
11053.7875,16572.075,147727.7125
10882.7625,8300.6125,118669.975
4061.8125,3661.225,21691.1375
2106.7375,1221.4,18181.5375
748.0625,2274.175,10236.35
1449.4375,859.975,9299.0625
653.2625,556.2875,12596.4
1092.325,797.325,5530.15
1950.6125,752.7,6226.2625
6468.725,11885.5125,66403.55
4957.1,5080.7,18689.65
9231.0375,36750.8625,168939.3375
19537.0375,35472.1375,100202
5371.0875,14000.975,37704.8
6079.75,11768.55,57846.8375
18597.2375,50359.725,206569.725
13117.8375,18703.275,113369.6875
7725,4254.3,96923.3875
2087.125,3503.6375,50707.275
4176.7625,2430.8,51704.8
2924.5125,820.7,12990.7375
2331.6875,811.1,11601.7625
2070.3625,1016.1875,6562.1
5583.2625,28988.725,103524.95
5066.525,12348.0875,74664.475
5146.65,6235.725,78565.2875
4113.1625,6354.7625,50561.2125
3165.0625,6143.7125,63225.575
6721.825,6492.525,68612.7625
16357.65,18707.0625,96177.3625
13561.875,34617.925,119198.225
20471,15951.4625,147797.575
23697.8625,18705.925,247845.675
3086.3,2162.9375,51213.6375
3216.825,660.7125,8806.1
5766.7125,1627.075,17061.6875
1730.525,1833.875,10275.7625
1003.675,682.375,10413.675
2773.65,815.975,8016.2
886.85,449.6875,5951.3375
1052.85,525.2,3596.6375
1374.175,574.575,2381.25
1671.0875,941.85,4865.6875
1945.5,1195.4,4859.6875
2131.9625,752.3375,2342.5625
6534.5375,11488.3375,105105.575
3732.625,5174.3125,24546.6375
4852.8125,7160.6,44096.05
7522.1125,4347.075,50542.475
12552.5125,15076.7125,69377.0875
10818.1875,6809.8,84246.325
12876.15,22928.2875,179235.5
10533.15,7162.5625,87053.9125
7691.9125,7883.7,68497.375
6513.525,2030.925,25684.25
6541.825,2261.8125,19869.2125
2515.5625,2277.075,19820.625
2573.2625,1957.0125,12364.275
996.2,772.05,9946.8375
1066.375,543.375,6703.625
3274.3875,1780.5625,7200.95
3028.55,624.2625,3918.775
4273.325,1305.8875,6172.1125
8340.3875,7230.875,126552.0625
3849.4875,2789.75,8022.4875
5324.9625,15506.425,55786.675
8091.9375,8541.2875,65454.2
4489.225,10197.1625,75135.725
10239.6,27385.9625,119577.1875
19543.025,21831.4,116357.2375
21256.2375,14729.8375,102482.3125
17442.025,19015.9125,108803.2625
14342.5375,8369.8625,145972.7875
7254.425,5040.2,57065.825
13365.625,6510.4625,83379.8625
5722.425,1355.8625,5711.7
7153.6125,3012.35,21127.95
3224.4875,976.275,14145.225
4445.4875,893.8375,16209.9625
1236.7,824.275,5026.4125
5908.65,3763.1125,16026.725
4032.4,1949.7125,5455.5
3468.75,302.8625,3845.5375
3464.0625,982.5375,7380.7625
1983.025,554.975,2279.625
3809.5125,892,3413.475
3788.1625,5416.0375,30639.9625
9680.8625,6202.2875,75113.8125
14175.15,3142.0875,36558.7125
12314.825,12823.575,71223.8125
13551.025,24028.15,68876.55
8820.975,9264.2875,55856.4125
14020.1,18793.2375,107358.7
15466.8125,10585.875,123229.325
11484.3375,7695.975,86811.975
4339.0875,1319.825,26572.625
6517.225,2320.8875,23397.7875
10547.4125,3578.1875,21188.175
8682.45,4331.825,30070.1375
5841.8875,2289.75,17211.0625
9211.6125,3304.975,31423.5375
3198.1375,3231.775,16447.375
3108.825,1767.8625,7637.3625
1026.575,683.65,3423.6375
3033.9,647.45,8134.0375
2295.3125,622.325,5632.9
8986.8375,24332.4,80096.5375
10164.2375,11091.1,78960.85
12998.15,25479.3375,77815.6375
13635.0875,6968.7625,73576.5875
13805.525,13813.3875,68988.6375
11610.35,8332.1875,72535.575
8956.2625,3902.575,74905.3
14257.625,8670.0125,121086.5625
29619.7625,22505.5875,270431.7125
8512.275,4394.8,49917.525
9147.175,3710.0375,36939.1
8799.2125,2764.175,33709.4375
4570.6,1793.0625,14208.1625
2577.375,452.5125,15751.6625
1004.5125,927.225,5516.275
4570.8875,847.775,7260.9625
6175.0625,1494.4125,10721.5875
4342.1875,733.0875,6355.1375
8658.0375,14873.9375,72341.8
8058.1625,21724.25,81314.525
5168.3875,6626.125,63607.075
5587.5375,6635.2125,74762.775
7618.8125,7293.225,55717.95
10842.45,12623.6375,109392.8875
13932.0875,17860.0375,196587.0625
7718.625,9834.3625,22089.2
24376.3125,21314.825,117566.875
12452.9375,8244.9625,75513.2375
14117.3875,32139.5125,115557.35
22204.8875,15910.9,121160.475
16886.875,10399.3625,99650.0625
8154.9875,4002.3,54574.2125
8610.5625,3896.3125,38914.575
15184.4625,4728.625,45368.2375
13797.8125,3232.9125,60595.7875
11309.65,4038.7375,33431.6
9144.25,5748.7375,27780.6375
10029.3375,4725,21948.95
11085.3875,2607.2,31263.975
3362.3625,1472.7125,5589.6875
1348.05,332.5125,4945.2
2345.4875,576.3,4233.175
7122.8875,18918.1875,119094.625
5275.2125,5393.0125,64313.3125
4662.625,5244.125,48962.4
7032.75,8162.2375,71837.5625
11256.4,11340.275,146066.35
9323.6875,6787.6125,159952.225
16640.8375,32053.9125,127507.3375
30394.7375,32432.4625,216434.575
6676.85,10712.625,100569.3
21910.4875,26173.025,91615.25
8856.925,20405.95,33299.6375
22275.3625,28855.6375,215745.9875
26197.65,11588.925,171363.85
10514.7625,10965.8125,79679.925
9395.2375,10896,63406.8625
7627.0875,2550.775,23405.2625
5400.0875,3676.6,25748.225
4084.05,2730.0125,15166.0125
8048.5375,2561.4375,28081.4
9994.65,2169.5875,20246.65
5018.075,3898.5,13410.1
6131.7125,1013.2375,9985.0875
3433.4125,644.4,5556.675
1145.3625,529.15,1535.475
9524.4875,16928.1125,57026.3
5187.775,4590.6625,55749.5
5324.05,13587.2125,41677.8125
8855.875,8068.1375,215143.6125
15596.2375,14838.7375,110476.3
8429.15,15012.7,102105.6375
15447.0125,9911.8625,104538.05
19617.025,20749.6125,48251.2
13784.325,9941.2125,75779.7375
18557.4375,12494.875,148835.425
8235.1875,5692.7875,12027.3
20164.8625,6937.7125,58742.125
10443.9875,1664.2625,35128.275
8349.9625,4892.2125,13496.425
4777.9625,861.3,5978.7375
6226.075,2089.6625,14957.4875
4359.3,941.7,8444.9875
6762.175,3182.975,15417.575
5385.2375,1806.525,7916.9
4935.925,1691.7375,7935.7375
5483.325,1281.8125,8662.075
4914.1875,1243.975,8246.3375
2165.4125,479.1625,3179.975
18267.7625,25930.8875,99646.9625
9046.1375,7282.4625,98624.475
14221.2375,27959.8125,103344.2625
8437.35,11616.7625,110872.1
12385.575,8900.2625,207417.3125
13736.025,12763.05,28690.9
8778.65,6293.4125,36565.7
17651.5125,31295.3,160518.2125
8519.55,8549.7875,57782.875
21235.6375,19086.8625,100937.675
12263.3125,16148.6,72984.875
18204.725,10810.75,84877.9875
13843.35,3888.625,28717.6875
11545.8875,4245.0625,32243.575
6157.45,2421.5875,20541.625
2441,827.0125,6364.575
2735.1,552.3375,7154.6375
14785.6,14075.5875,112949.5125
11575.05,6867.075,87199.45
10659.075,10716,115893.3
16159.175,27082.3625,81959.4625
9549.2125,2291.825,46979.675
4172.2125,1048.85,16202.1375
4562.625,1141.825,8245.2125
3049.925,729.55,5120.1875
5493.3375,1226.1125,4928.9875
3334.9625,1413.225,9949.125
2348.9375,523.025,3262.1375
13873.3,18958.2375,113175.5875
10097.525,19363.35,77796.4
14000.9625,11676.9375,63188.45
21214.1375,32739.1375,97769.9375
30179.3375,26756.4375,138022.2875
19248.5375,10314.65,90647.6125
5816.8125,2853.6125,8681.9875
3957.65,666.1625,9002.3875
6647.6,3125.3,7660.25
8907.3875,2670.625,10933.2125
3755.75,1493.0125,2884.6375
1865.6625,370.575,6234.1875
3465.8125,1195.425,3051.525
4333.95,1886.9375,99404.2375
2663.4,5979.775,31573.975
5480.45,7848.7375,101026.05
6429.475,6756.9875,52951.525
9154.15,4441.7375,15632.1
4955.2,588.8625,3794.6875
7314.5875,14898.725,76445.8125
5235.9625,5624.3125,108237.7875
4316.9875,4751.8875,53840.3875
6118.1875,930.0375,7485.55
4938.1,422.5875,2212.7125
5722.8,1120.6625,10607.55
5310.0125,472.0125,1489.3625
12719.5,21187.1,37825.15
7163.9375,16243.0875,85384.65
10476.8125,14600.875,197376.775
8016.975,5647.125,56392.9625
21089.6,25286.325,105618.9625
9608.75,1542.7375,17553.0125
12305.15,2535.275,19897.55
7881.0375,1584.175,7707.8875
4972.425,1896.475,4354.9375
8025.275,1954.6,21733.675
4372.6375,2107.2375,11451.025
6400.525,952.425,11485.5125
7077.3125,756.3875,5346.4125
9820.1875,11819.0125,34743.475
8668.4125,14158.75,90299.5125
12823.65,3119.5625,21514.8125
6951.2625,13175.1125,36634.5375
15602.8375,14604.0375,94762.6
18358.125,9806.6375,50489.7875
15685.6875,22142.4,73009.6375
8085.95,12386.425,88489.6
6842.875,1009.5125,3755.1375
15317.0375,1290.525,13802.2375
8175.6625,3721.2625,23756.2625
12115.7,1584.1375,4777.2125
11078.275,1088.55,8396.9375
11031.0125,34839.625,80867.425
11362.95,8583.85,72573.6875
13389.2625,4729.425,17829.725
6077.8125,12745.175,53498.9875
6964.275,15843.3375,46555.525
12220.9375,12083.575,58725.7625
4511.5375,28665.8,69281.1625
10360.05,8329.4625,140673.0125
6484.125,8102.3,101771.3
7353.9125,11823.3625,110329.375
7144.3125,13457.025,160483.1125
2724.175,4335.925,106345.125
7724.45,24855.3625,147025.7125
6732.4625,37366.0125,197833.15
10495.3875,46791.5875,240276.5375
5653.7625,19464.225,98551.9625
5924.7,5930.45,122890.95
4737.8,35809.925,116774.65
3904.225,15302.0125,119943.7375
3536.7375,10012.7625,130797.775
3834.875,5184.5375,131117.275
6230.3375,7312.6125,98408.7
5817.0625,30547.2375,177430.4625
6368.425,15067,180787.9875
7343.8875,11482.4875,89399.775
2546.225,4997.7875,42807.9
8404.7375,4688.825,44980.7375
7368,8382.3625,110951.55
16790.475,21716.825,173597.3875
6969.675,16940.9625,101137.8875
6490.2125,6644.8875,99797.6
1935.65,8321.2125,70083.3375
3798.9,11346.9,68889.4625
6727.5375,6828,60555.375
6230.925,12285.35,165814.7625
9950.4625,9452.6125,126438.0875
4944.5375,14633.425,95564.85
2645.675,9217.15,12212.3875
8696.775,14700.6875,85182.1625
8279.225,7031.625,143315.9625
6537.1125,12741.65,89022.675
13449.7875,14064.9125,207351
5042.3,2650.6,48742.8375
5362.3125,2780.4125,64505.2625
3296.5625,8558.9125,55649.4125
8829.7,8863.775,231920.95
9835.975,14509.925,47062.1
4823.425,15497.35,134568.25
12323.0625,42620.875,207258.275
9048.4,24584.4875,99678.2875
11866.3,7687.725,159647.4625
10751.3125,13535.725,99740
6043.7125,4876.6,107350.9875
10172.1625,11736.8625,122265.8625
12773.5375,13684.55,193867.85
16386.8875,16556.85,130793.3625
10698.575,28655.875,102630.375
11960.9375,10119.6375,139815.0375
10013.9625,40694.8375,131744.975
9961.675,14131.55,94427.2125
5312.425,3808.5,242205.7125
7120.65,11740.8375,135618.2875
8021.9125,10833.05,91440.0375
7989.1125,5787.35,52157.175
10535.5,11280.825,116726.075
5534.7125,8826.7125,72528.95
9000.55,23089.7875,103692.2125
8099.025,11585,154262.125
18138.5375,16757.725,204253.75
11136.95,11850.1,144477.25
7796.8375,5509.5875,83025.075
7204.0625,5725.0375,93096.025
14520.5375,18519.825,177708.05
11830,14278.2,172227.1
8267.8,10233.7125,53491.025
11151.7375,15857.1375,49864.925
7610.7,11112.675,50378.125
15016.7125,29007.35,122092.8
10292.475,24314.5,134442.6125
11561.4125,9713.925,98568.6875
21232.3875,20156.5,174558.9625
5328.6,20605.7375,105088.8375
8816.1875,13299.05,110861.5
8280.4,13676.35,145091.1375
14251.0875,16605.075,141803.9375
17247.875,17893.1875,124710.325
11832.75,26519.9125,119484.225
11009.5375,11602.575,81874.525
9309.4875,9698.3,227502.0875
22558.3875,70451.0375,181443.45
15497.1625,27316.8875,163600.6375
9055.5625,5825.4875,103183.6875
7842.8625,8876.475,50590.0125
5370.3625,6380.8625,54566.5625
11375.975,28227.1,109688.775
7544.1,15626.8875,96051.375
7020.6125,4552.8375,110636.225
14673.1875,11479.3625,75833.5625
6769.5625,8185.9125,87623.45
14129.1125,16524.925,106873.7
14451.275,19609.5125,122724.65
4988.1875,3891.725,83092.6875
9364.45,21263.025,187876.225
5778.425,19575.2875,60310.425
6990.0625,9684.2,68940.475
13363.975,20070.275,75372.4375
11116.8,16418.7375,54496.4
10684.3375,8156.95,78198.8875
7830.5625,11064.6625,62986.575
5543.925,15617.0625,41912.4875
6190.925,7821.2875,75971.15
6623.9625,15988.0125,74707.0625
7433.65,8367.975,62168.525
8241.5625,6864.1875,59811.025
13787.175,17524.3125,98868.0875
3264.975,7299.2875,76971.2375
1410.8625,8659.0125,38672.725
5169.375,8146.7375,62005.7875
5884.4,6765.325,46989.625
8622.6,9651.3125,62799.4375
3117.75,3731.475,62095.8625
1446.9625,4369.7875,59712.6875
4454.9,3084.2125,85615.0625
3528.925,6188.8,61580.875
5509.925,3914.0375,77591.7
2958.7625,3924.9375,75731.8625
3582.1375,11185.55,119153.325
3259.0375,4114.3625,109560.9125
1434.875,1956.05,95521.15
4227.3125,5711.0875,28737.0125
7098.05,9822.1,53202.1875
6487.1875,5715.95,69820.475
7206.0125,19528.3,52967.475
1291.075,4488.2875,72316.65
10113.075,9755.2125,88347.0125
12121.675,16271.0625,126500.475
4064.825,5410.05,50952.475
9014.75,15513.375,114030.3625
5411.6625,4806.3625,73424.4125
5521.8,3797.2375,108320.3
4619.475,13175.3,81195.6
8260.7625,9967.975,115063.625
3073.475,7645.725,95225.225
6223.9125,6072.125,96688.5625
3797.6375,1624.775,41564.9375
2172.85,2495.3,74390.6875
8012.275,14687.8375,144308.525
4068.625,1777.6375,67574.2875
4588.525,2782.0125,39036.1125
5096.9625,3882.1875,46508.1875
4036.1,3102.5625,95163.4125
4423.1,10269.3375,79530.55
5829.4375,10583.15,95578.9875
3555.675,4474.1,81388.2375
8537.05,10637.025,160866.575
4905.7375,2104.25,56323.4875
3754.275,3906.8,45006.3375
4162.4,4429.45,37595.4
3444.4,4324.8,52032.05
2197.775,3069.225,51632.25
7045.375,7712.7875,126135.0125
4261.4125,3820.8625,56209.8625
3803.875,7532.4,28132.975
3833.225,3843.2,60957.25
3931.075,2534.0375,33642
3533.35,6424.425,60108.3375
6150.4625,3833.8875,42588.2
4928.9875,2553.2875,61114.825
6600.3125,9018.2,78340.9875
5264.6,3409.9,42234.4625
3035.3375,1690.1125,70405.075
2619.2125,1836.7875,24622.2625
4487.2375,3324.325,54755.675
5075.7875,5592.225,50348.6375
5486.8375,6401.025,55844.875
4142.05,6347.65,53227.3375
3398.2,2150.2125,59451.8875
3281.125,1517.75,39364.8625
5267.7375,11719.7875,119806.75
4713.45,5630.3125,18393.1
4773.7125,3038.15,66532.075
3470.0375,3448.3375,49879.2375
3760.5875,3551.7125,29886.675
3226.825,6780.9625,43463.6875
2717.1875,2354.7375,74540.9
3644.0375,4537.15,72293.8375
5268.725,3605.95,31308.3125
6918.5625,6257.3375,67083.2
6351.8125,3688.35,40125.225
2865.1875,4266.75,66487.2
4893.875,3733.4,85867.0625
2561.1125,3056.1375,65079.95
3249.85,5636.1375,54392.4125
7561.6625,11197.725,77062.375
4031.9125,4456.05,88790.125
6141.95,11768.2125,93867.875
2274.4875,3933.725,39457.9
4299.6375,10871.4,33337.525
3229.7625,8306.625,59102.45
